"state","allotment","pct","fy","program","base_total","hypothetical","account","total_earmarks","state_abbr","actual_total","difference","diff_as_pct","bar_color"
"Nebraska",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",18314640,"NE",22975640,11937300.95,1.08143996084266,"Positive"
"Nevada",4832000,0.0104,"FY24","DWSRF",1103833905,11479872.612,"STAG—Drinking Water State Revolving Fund",3395000,"NV",8227000,-3252872.612,-0.283354417069031,"Negative"
"New Hampshire",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",1500000,"NH",6161000,-4877339.05,-0.441854433706673,"Negative"
"New Jersey",8273000,0.0178,"FY24","DWSRF",1103833905,19648243.509,"STAG—Drinking Water State Revolving Fund",14311398,"NJ",22584398,2936154.491,0.149435978318117,"Positive"
"New Mexico",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",6544504,"NM",11205504,167164.949999999,0.0151440311121807,"Positive"
"New York",21769000,0.0467,"FY24","DWSRF",1103833905,51549043.3635,"STAG—Drinking Water State Revolving Fund",49300624,"NY",71069624,19520580.6365,0.378679784585912,"Positive"
"North Carolina",12843000,0.0276,"FY24","DWSRF",1103833905,30465815.778,"STAG—Drinking Water State Revolving Fund",7718264,"NC",20561264,-9904551.778,-0.325103776973282,"Negative"
"North Dakota",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,NA,0,"ND",4661000,-6377339.05,-0.577744443354456,"Negative"
"Ohio",10525000,0.0226,"FY24","DWSRF",1103833905,24946646.253,"STAG—Drinking Water State Revolving Fund",32386385,"OH",42911385,17964738.747,0.720126407566293,"Positive"
"Oklahoma",6774000,0.0145,"FY24","DWSRF",1103833905,16005591.6225,"STAG—Drinking Water State Revolving Fund",8125000,"OK",14899000,-1106591.6225,-0.0691378143713476,"Negative"
"Oregon",7011000,0.015,"FY24","DWSRF",1103833905,16557508.575,"STAG—Drinking Water State Revolving Fund",11855000,"OR",18866000,2308491.425,0.1394226320067,"Positive"
"Pennsylvania",15375000,0.033,"FY24","DWSRF",1103833905,36426518.865,"STAG—Drinking Water State Revolving Fund",22707129,"PA",38082129,1655610.135,0.0454506822662863,"Positive"
"Puerto Rico",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,NA,0,NA,4661000,-6377339.05,-0.577744443354456,"Negative"
"Rhode Island",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",2100000,"RI",6761000,-4277339.05,-0.387498429847559,"Negative"
"South Carolina",5825000,0.0125,"FY24","DWSRF",1103833905,13797923.8125,"STAG—Drinking Water State Revolving Fund",20015000,"SC",25840000,12042076.1875,0.87274551962598,"Positive"
"South Dakota",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,NA,0,"SD",4661000,-6377339.05,-0.577744443354456,"Negative"
"Tennessee",7846000,0.0168,"FY24","DWSRF",1103833905,18544409.604,"STAG—Drinking Water State Revolving Fund",8762624,"TN",16608624,-1935785.604,-0.104386477937936,"Negative"
"Texas",37157000,0.0797,"FY24","DWSRF",1103833905,87975562.2285,"STAG—Drinking Water State Revolving Fund",13974765,"TX",51131765,-36843797.2285,-0.418795814374055,"Negative"
"Utah",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",15877841,"UT",20538841,9500501.95,0.860682201096187,"Positive"
"Vermont",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",5835000,"VT",10496000,-542339.050000001,-0.0491323058245797,"Negative"
"Virginia",6581000,0.0141,"FY24","DWSRF",1103833905,15564058.0605,"STAG—Drinking Water State Revolving Fund",11168770,"VA",17749770,2185711.9395,0.140433293875144,"Positive"
"Washington",10672000,0.0229,"FY24","DWSRF",1103833905,25277796.4245,"STAG—Drinking Water State Revolving Fund",13295848,"WA",23967848,-1309948.4245,-0.0518220972469878,"Negative"
