"","Agency","Account","State","Project","Amount","Senate_Requestor","Originiation","House_Requestor"
"1006","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KS","City of Caney for Water Distribution System Improvements","1500000","","H","Schmidt"
"1007","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Lake County Public Works for Antioch Township Sanitary Sewer Improvements","1092000","","H","Schneider"
"1008","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Fox Lake for Northwest Regional Water Reclamation Facility Upgrades","1092000","","H","Schneider"
"1009","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Spring Grove for Wastewater Treatment Plant Construction","1092000","","H","Schneider"
"1010","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Vernon Hills for Sediment Pollution Control Project","1092000","","H","Schneider"
"1011","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of Highland Park for George B Prindle Water Treatment Plant Intake Improvements","1092000","","H","Schneider"
"1012","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of North Chicago for Lead Service Line Replacements","1092000","","H","Schneider"
"1013","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Wilmette for Lead Service Line Replacement Project","1092000","","H","Schneider"
"1014","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Grand Haven for Harbor Island Drinking Water Treatment Remediation","1092000","","H","Scholten"
"1015","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Grand Rapids for Water Resource Recovery Facility UV Disinfection Upgrade Project","1092000","","H","Scholten"
"1016","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","Town of Carbonado for Wastewater Treatment Plant Relocation Project","1092000","","H","Schrier"
"1017","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","Covington Water District for Reservoir Construction Project","1092000","","H","Schrier"
"1018","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Oxford for Water Main Replacement Project","1092000","","H","Scott (GA)"
"1019","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","Gwinnett County for Walton Court Booster Station Project","1092000","","H","Scott (GA)"
"1020","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","Newton County for Transmission Main Replacement Project","1092000","","H","Scott (GA)"
"1021","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Waco for Flat Creek Water Reuse Project","1e+06","","H","Sessions"
"1022","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Nacogdoches for Storm Drainage Improvements","1e+06","","H","Sessions"
"1023","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Woodway for Drinking Water System Upgrades","750000","","H","Sessions"
