"","Agency","Account","State","Project","Amount","Senate_Requestor","Originiation","House_Requestor"
"16","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AZ","Colorado River Sewage System Joint Venture for Wastewater Treat- ment Facility Replacement.","2000000","Gallego, Kelly","S",""
"17","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AZ","Tri City Regional Sanitary District for Sewer Upgrades","2850000","Gallego, Kelly","S",""
"18","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Bakersfield for South MLK Sewer Project","1500000","Padilla","S",""
"19","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","County of Sutter for Robbins Wastewater Treatment Plant Back Up Generator.","400000","Schiff","S",""
"20","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","County of Tulare for Goshen Sewer Study","750000","Padilla","S",""
"21","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","The Inland Empire Utilities Agency for Cybersecurity Program Im- provements Project.","1180000","Schiff","S",""
"22","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Valley Sanitary District for Recycled Water Project","1920000","Schiff","S",""
"23","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","City of Brush for Wastewater Treatment Facility Upgrades","2110000","Bennet,","S",""
"24","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","City of Evans for Stormwater Project","500000","Bennet, Hickenlooper","S",""
"25","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","Town of Cokedale for Waste Water Treatment improvements","2000000","Bennet, Hickenlooper","S",""
"26","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","Town of Silverton for Augmentation Ponds","2366000","Bennet, Hickenlooper","S",""
"27","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","Ute Mountain Ute Tribe for Water Transmission","1700000","Bennet, Hickenlooper","S",""
"28","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Borough of Jewett City Department of Public Utilities for Waste- water Project.","826000","Blumenthal, Mur- phy","S",""
"29","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","City of Torrington for Toro Field Siphon Abandonment and Sewer Replacement.","2000000","Blumenthal, Mur- phy","S",""
"30","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Naugatuck Valley Council of Governments for Sewer Siphon Reloca- tion Associated with Kinneytown Dam Removal.","1404000","Blumenthal, Mur- phy","S",""
"31","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Norwich Public Utilities for North Main Street Wastewater System Upgrade Project.","960000","Blumenthal, Mur- phy","S",""
"32","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Town of Clinton for Design of Downtown Wastewater Collection Sys- tem and Treatment Facility.","500000","Blumenthal, Mur- phy","S",""
"33","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Town of Ellington Water Pollution Control Authority for Sewer Main Replacement.","975000","Blumenthal, Mur- phy","S",""
"34","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Town of Fairfield for Sewer Upgrade","900000","Blumenthal, Mur- phy","S",""
"35","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Town of Winchester for Southern Sewer Network Expansion","635000","Blumenthal, Mur- phy","S",""
"36","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","DE","City of Dover for Meeting House Branch Soil Remediation","1400000","Blunt Rochester","S",""
"37","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","DE","City of Seaford for Wastewater Treatment Facility Upgrade and Ex- pansion.","2300000","Blunt Rochester, Coons","S",""
"38","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","DE","City of Wilmington for Wastewater Treatment Facility Upgrades","2800000","Blunt Rochester, Coons","S",""
"39","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","DE","Kent County Levy Court for Replacement of Wastewater Main Pipe","2600000","Blunt Rochester, Coons","S",""
"40","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of Barnesville for Wastewater Collection System Improvement","2000000","Ossoff, Warnock","S",""
"41","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of Arcade for Sewage Treatment Plant Improvements","1000000","Ossoff, Warnock","S",""
"42","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of Cordele for Lift Station Improvements","250000","Ossoff","S",""
"43","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of Hampton for Stormwater Improvements","954000","Ossoff","S",""
"44","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of Moultrie for SE Business Park Water and Sewer Extension","685000","Warnock 163","S",""
"45","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of South Fulton for Stormwater Improvements","810000","Ossoff, Warnock","S",""
"46","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of Waynesboro for Sanitary Sewer Improvements","1000000","Ossoff","S",""
"47","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Carbondale for Stormwater and Flooding Mitigation Project","1500000","Duckworth, Durbin","S",""
"48","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Park Forest for Water Main Improvements","1450000","Duckworth, Durbin","S",""
"49","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IN","City of Clinton for Combined Sewer Overflows Control Plan","2000000","Young","S",""
"50","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IN","City of Gary for Storm Sewer Project","2000000","Young","S",""
"51","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IN","Greene County for Water and Wastewater Infrastructure","15000000","Young","S",""
"52","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KS","Riley County for Sewer District Upgrades","1000000","Moran","S",""
"53","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Martin County for Wastewater Treatment Plant Rehabilitation","4800000","McConnell","S",""
"54","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","City of Kenner Sewer/Wastewater Treatment Plant Stabilization and Improvement Project.","7000000","Cassidy, Kennedy","S",""
"55","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","Monroe Sewer Lift Stations Rehabilitation Project","4000000","Kennedy","S",""
"56","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","North Lake Charles Water Rehabilitation Project","1500000","Cassidy, Kennedy","S",""
"57","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Barnstable County for Former Municipal Fire Training PFAS Remedi- ation Site.","3000000","Markey, Warren","S",""
"58","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","City of Fall River for South Watuppa Pond Phosphorus Inactivation Project.","2026000","Markey, Warren","S",""
"59","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Agawam for Downtown Stormwater Infrastructure Improve- ments.","1971000","Markey, Warren","S",""
"60","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Wayland for Town Center Sewer Replacement and Expan- sion.","200000","Markey, Warren","S",""
"61","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Tyngsborough Sewer Commission for Phalanx Street Pump Station Upgrade & Gravity Sewer Installation.","1956000","Markey, Warren","S",""
"62","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Canal Place Preservation and Development Authority for Sediment Testing and Remediation.","500000","Alsobrooks, Van Hollen","S",""
"63","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","City of Hagerstown for Stormwater Infrastructure Upgrades","1000000","Alsobrooks, Van Hollen","S",""
"64","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Easton Utilities for Windmill Pump Station Enhancement","2868000","Alsobrooks, Van Hollen","S",""
"65","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Town of Hurlock for Wastewater Treatment Plant","2795000","Alsobrooks, Van Hollen","S",""
"66","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Town of Smithsburg Water System Improvements","306000","Alsobrooks, Van Hollen","S",""
"67","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Town of Trappe for Wastewater Treatment Plant Upgrades","1149000","Alsobrooks, Van Hollen 164","S",""
"68","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Caribou Utilities District for Wastewater Infrastructure Improve- ments.","3288000","Collins","S",""
"69","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","City of Bath for Pump Station and Sewer Line Improvements","560000","King","S",""
"70","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","City of Biddeford for Wastewater Infrastructure Improvements","6000000","Collins","S",""
"71","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","City of Brewer for Drinking Water Infrastructure Improvements","1576000","Collins, King","S",""
"72","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","City of Gardiner for Wastewater Infrastructure Improvements","1422000","Collins, King","S",""
"73","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Clinton Water District for Wastewater Infrastructure Improvements","3250000","Collins, King","S",""
"74","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Pleasant Point for Wastewater Infrastructure Improvements","5000000","Collins, King","S",""
"75","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Richmond Utilities District for Wastewater Infrastructure Improve- ments.","2500000","Collins, King","S",""
"76","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","South Berwick Sewer District for Wastewater Infrastructure Im- provements.","3000000","Collins, King","S",""
"77","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of Fort Kent for Water Infrastructure Improvements","3500000","Collins, King","S",""
"78","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of Frenchboro for Culvert Replacement","419000","King","S",""
"79","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of Gorham for Wastewater Infrastructure Improvements","3000000","Collins","S",""
"80","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of Hampden for Pump Station and Sewer Main Improvements","1735000","King","S",""
"81","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of Machias for Wastewater Infrastructure Improvements","1378000","Collins, King","S",""
"82","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of North Haven for Wastewater Infrastructure Improvements","4000000","Collins, King","S",""
"83","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of Old Orchard Beach for Wastewater Infrastructure Improve- ments.","1000000","Collins, King","S",""
"84","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of Southwest Harbor for Wastewater Infrastructure Improve- ments.","780000","Collins, King","S",""
"85","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of St. Agatha for Wastewater System Upgrades","786000","King","S",""
"86","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Vassalboro Sanitary District for Wastewater Infrastructure Improve- ments.","386000","Collins","S",""
"87","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Veazie Sewer District for Wastewater Infrastructure Improvements","1878000","Collins","S",""
"88","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Wells Sanitary District for Wastewater Infrastructure Improvements","3000000","Collins","S",""
"89","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Great Lakes Water Authority for Freud & Conners Creek Pump Sta- tion Rehabilitation.","1000000","Peters, Slotkin","S",""
"90","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Great Lakes Water Authority for Oakwood District Intercommunity Relief Sewer Modification.","1000000","Peters, Slotkin","S",""
"91","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Marquette County for K.I. Sawyer Wastewater Treatment Plant Dis- infection Upgrades.","1370000","Peters","S",""
"92","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Floodwood for Water Infrastructure Improvements","1500000","Klobuchar, Smith","S",""
"93","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Grand Marais for Wastewater Treatment Improvements","1000000","Klobuchar","S",""
"94","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Lamberton for Infrastructure Improvements","1000000","Klobuchar, Smith","S",""
"95","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Madison Lake for Sanitary and Water System Improvements","1000000","Klobuchar, Smith","S",""
"96","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Moorhead for Dewatering Project","2000000","Klobuchar, Smith","S",""
"97","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Sacred Heart for Infrastructure Improvements","1000000","Klobuchar, Smith","S",""
"98","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MS","Cities of Clinton, Bolton, and Raymond for Regional Wastewater Improvements.","7800000","Hyde-Smith, Wicker 165","S",""
"99","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MS","City of Natchez for Stormwater Infrastructure Improvements","1178000","Hyde-Smith","S",""
"100","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MS","DCRUA Effluent Pump Station Project","2500000","Hyde-Smith, Wicker","S",""
"101","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MT","12th Street BNSF Railroad Sanitary Sewer Crossing Replacement Project.","825000","Sheehy","S",""
"102","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NE","City of Gothenburg Clean Water Utility Improvements","776000","Fischer","S",""
"103","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NE","Middle Niobrara Natural Resources District for Long Pine Creek and Bone Creek Watershed Improvements.","1421000","Fischer","S",""
"104","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NE","Village of Greeley for Wastewater Improvements","2372000","Fischer","S",""
"105","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NE","Village of Ong for Lagoon System Renovations","100000","Fischer","S",""
"106","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NE","Village of Shelby for Lagoon Improvements","600000","Fischer","S",""
"107","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NE","Village of Valparaiso for Sewer Rehabilitation","468000","Fischer","S",""
"108","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Swedesboro for Sanitary Sewer Pump Station","400000","Booker","S",""
"109","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","City of Hoboken for North End Roadway Reconstruction Project","1217000","Booker, Kim","S",""
"110","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","County of Passaic for River Street Storm Water Management Project.","1000000","Booker","S",""
"111","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Town of Morristown for Burnham Park Lower Pond Hydro-raking","500000","Booker","S",""
"112","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NM","Albuquerque Bernalillo County Water Utility Authority for Carnuel Wastewater System Improvements.","1000000","Heinrich","S",""
"113","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NM","City of Rio Rancho for Aquifer Reinjection System","2090000","Heinrich, Luján","S",""
"114","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NM","Village of Mosquero for Water Infrastructure Project","250000","Luján","S",""
"115","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NV","Baker Water and Sewer General Improvement District for Water In- frastructure Upgrades.","3871000","Cortez Masto, Rosen","S",""
"116","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NV","City of Sparks for Water Reclamation Backup Power Systems","3773000","Cortez Masto, Rosen","S",""
"117","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","City of Glens Falls for WWTP Electrical System Upgrades","1000000","Schumer","S",""
"118","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","County of Suffolk for Lake Ave, St. James Sewer Upgrade and Ex- pansion.","1100000","Gillibrand","S",""
"119","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Oneida County for Purchase and Installation of Holding Tank","1500000","Schumer","S",""
"120","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Suffolk County for Sewerage Design Infrastructure at Heartland","1000000","Schumer","S",""
"121","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Millerton for Wastewater System","3500000","Gillibrand","S",""
"122","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","Arnold Irrigation District for Infrastructure Modernization Project","2000000","Merkley, Wyden","S",""
"123","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","City of Dallas for Sewer and Reservoir Tank Project","1000000","Merkley, Wyden","S",""
"124","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","City of John Day for Wastewater Treatment Plant","4500000","Merkley, Wyden","S",""
"125","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","City of Talent for Resilient Waterline Installation","2000000","Merkley, Wyden","S",""
"126","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Borough of Forest Hills for Storm Sewer Replacement and Sanitary Sewer Access Improvements.","500000","Fetterman, McCor- mick 166","S",""
"127","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Chesapeake Conservancy for Water Quality Project","400000","Fetterman","S",""
"128","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Dry Tavern Sewer Authority for Sewage Treatment Plant Improve- ments.","591000","Fetterman, McCor- mick","S",""
"129","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Hatfield Township Municipal Authority for Stormwater Mitigation Project.","241000","Fetterman","S",""
"130","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","RI","City of East Providence for Sewer System Rehabilitation","1500000","Reed, Whitehouse","S",""
"131","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","RI","City of Warwick for Bellows Interceptor Rehabilitation","2000000","Reed","S",""
"132","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","RI","Narragansett Bay Commission for Service Area Expansion Study","500000","Reed, Whitehouse","S",""
"133","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","RI","Town of Charlestown for Onsite Wastewater Treatment Systems Up- grades.","650000","Whitehouse","S",""
"134","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","RI","Town of Cumberland for Sewer Main Replacements","1500000","Reed","S",""
"135","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","RI","Town of Middletown for Sewer System Reconfiguration","1000000","Reed, Whitehouse","S",""
"136","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","SC","Beaufort Jasper Water & Sewer Authority for Bluffton Area Pump Station System Improvements.","1500000","Graham","S",""
"137","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","SC","City of North Augusta for Greeneway Culvert Replacement","1280000","Graham","S",""
"138","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","SC","City of Walterboro for SC Highway 63 Wastewater Improvements","2983000","Graham","S",""
"139","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","SC","Town of Moncks Corner for Stormwater Improvements","1678000","Graham","S",""
"140","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","SC","Town of Pawleys Island for Stormwater Improvements","1500000","Graham","S",""
"141","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","SC","Town of Sullivan's Island for Street Drainage Improvement","3000000","Graham","S",""
"142","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Buena Vista for Wastewater Treatment Plant Improvements","2300000","Kaine, Warner","S",""
"143","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Williamsburg for Sanitary Sewer Resiliency Improvements","600000","Kaine, Warner","S",""
"144","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Town of Altavista for Wastewater Treatment Plant Improvements","3000000","Kaine, Warner","S",""
"145","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Town of Fries for Drinking Water and Sewer Treatment Improve- ments.","1000000","Kaine, Warner","S",""
"146","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Town of Stuart for Sewer Equalization and Reclamation","1058000","Kaine, Warner","S",""
"147","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Town of Wytheville for Wastewater Plant Upgrade","942000","Kaine, Warner","S",""
"148","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VT","Addison County Community Trust for Manufactured Housing Com- munity Wastewater Infrastructure Improvements.","1200000","Sanders, Welch","S",""
"149","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VT","Bolton Valley Water and Community Development Company for Community Wastewater Treatment Facility.","1000000","Welch","S",""
"150","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VT","City of Burlington for South End Wastewater Storage","1000000","Sanders, Welch","S",""
"151","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VT","Highgate Village for Wastewater System Centralization","750000","Sanders","S",""
"152","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VT","Town of Richmond for Richmond Wastewater Treatment Facility","1350000","Sanders, Welch","S",""
"153","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VT","Town of Woodstock for Woodstock Wastewater Treatment Facility","1000000","Welch","S",""
"154","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Anacortes for Samish Indian Nation Summit Park Sewer Ex- tension.","997000","Murray","S",""
"155","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Entiat for Wastewater Treatment Plant Upgrades and Ex- pansion.","1000000","Cantwell","S",""
"156","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Granite Falls for Water Infrastructure Projects","990000","Cantwell, Murray","S",""
"157","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Toppenish for Solid State Dryer","1000000","Cantwell","S",""
"158","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","Clark Regional Wastewater District for Wallace Heights Septic Elimination.","2215000","Murray","S",""
"159","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","Douglas County Sewer District #1 for Sewer Line Construction","3767000","Murray","S",""
"160","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","Port of Bellingham for Fairhaven Marine Industrial Park Stormwater Improvement Project.","1200000","Cantwell","S",""
"161","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","Town of Carbonado for Sewer Gravity Line to Wastewater Treatment Plant.","1000000","Murray","S",""
"162","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WI","Bell Sanitary District for Holding Tank Treatment Facility","1100000","Baldwin","S",""
"163","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WI","City of Oshkosh for Wastewater Treatment","3200000","Baldwin","S",""
"164","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WI","Forest County Potawatomi Community for Wastewater Treatment","2000000","Baldwin","S",""
"165","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WI","Town of Calumet for Water Treatment System","420000","Baldwin","S",""
"166","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WI","Town of Richmond for Wastewater Improvements","144000","Baldwin","S",""
"167","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WI","Village of Brandon for Wastewater Improvements","406000","Baldwin","S",""
"168","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WV","Berkeley County Westside Water Main","1600000","Capito, Justice","S",""
"169","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WV","Huntington Four Pole Creek Pump Station","10000000","Capito","S",""
"170","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AL","The City of Greenville Water Works and Sewer Board for Water Sup- ply Augmentation.","3500000","Britt, Tuberville","S",""
"171","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AR","City of Helena-West Helena for Water Rehabilitation","4500000","Boozman","S",""
"172","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AR","City of Wabbaseka for Drinking Water Regionalization","2000000","Boozman","S",""
"173","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AR","Wynne Water Utilities for Water Infrastructure Improvements","4500000","Boozman","S",""
"174","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AZ","City of Page for Water Treatment Plant Expansion","2550000","Gallego, Kelly","S",""
"175","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AZ","City of Safford for Water Line Upgrades","2100000","Gallego, Kelly","S",""
"176","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AZ","Town of Eagar for Spring Line Restoration Project","1500000","Gallego, Kelly","S",""
"177","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Tustin for 17th Street Desalter Electrical Upgrade Project","2000000","Schiff","S",""
"178","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","County of Madera for North Fork Water System Project","1200000","Padilla","S",""
"179","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Las Virgenes Municipal Water District for Water Farm Study","1050000","Padilla","S",""
"180","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","City of Brighton for Water Line Replacement","1000000","Bennet,","S",""
"181","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of De Beque for Secondary Water Source","320000","Hickenlooper Bennet, Hickenlooper","S",""
"182","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CT","Southington Water Department (SWD) for Wells PFAS Treatment","2000000","Blumenthal, Mur- phy 168","S",""
"183","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of College Park for Lead Pipe Replacement","2134000","Ossoff, Warnock","S",""
"184","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of East Point for Drinking Water Treatment Upgrades","1250000","Ossoff, Warnock","S",""
"185","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Hiawassee for Drinking Water Project","2000000","Warnock","S",""
"186","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Millen for Industrial Park Water Tank Construction","1500000","Ossoff","S",""
"187","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Palmetto for Sewer Line Replacements","856000","Ossoff, Warnock","S",""
"188","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Savannah for Reservoir Rehabilitation","1248000","Ossoff, Warnock","S",""
"189","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Wrens for New Municipal Drinking Water Well","557000","Warnock","S",""
"190","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","DeKalb County for Larkspur Water Main Replacement Project","1479000","Ossoff, Warnock","S",""
"191","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","DeKalb County for Lithonia Booster Pump Station Standby Power Project.","726000","Ossoff, Warnock","S",""
"192","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","DeKalb County for Water Storage Tank Upgrades","541000","Ossoff","S",""
"193","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","HI","County of Hawaii Department of Water Supply for Chlorination Sys- tem Conversion.","1440000","Hirono, Schatz","S",""
"194","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","HI","County of Maui Department of Water Supply for Kealaloa Well De- velopment.","2000000","Hirono, Schatz","S",""
"195","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","HI","Honolulu Board of Water Supply for Kaonohi Booster Replacement","2000000","Hirono, Schatz","S",""
"196","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Bonnie Brae Forest Manor Sanitary District for Water Capital Im- provements.","250000","Duckworth","S",""
"197","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of Chester for Route 150 Water Main Replacement","1200000","Duckworth","S",""
"198","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of Chicago for Lead Service Line Replacements","2000000","Durbin","S",""
"199","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of Macomb for Lead Service Line Replacements","1000000","Durbin","S",""
