"","Agency","Account","State","...4","Amount","Requestor"
"648","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of Longview for Fill Line to Water Reservoir Project",1092000,"Perez"
"649","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of Ridgefield for Kennedy Well Project",1092000,"Perez"
"650","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Coronado for Stormwater Mitigation Project",1092000,"Peters"
"651","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of San Diego for Famosa Slough Alley Slope Restoration Project",1092000,"Peters"
"652","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of San Diego for Pump Station Component D Upgrade",1092000,"Peters"
"653","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","City of Arvada for North Trunk Wastewater Infrastructure Improvements",1092000,"Pettersen"
"654","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","Teller County for Wastewater Expansion Project",1092000,"Pettersen"
"655","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","Town of Alma for Wastewater Treatment Plant Improvements",1092000,"Pettersen"
"656","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Eden for Pump Station Replacement",3e+05,"Pfluger"
"657","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Clinton Water District for Railroad and Church Streets Utility Upgrades",1093276,"Pingree"
"658","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","North Berwick Sanitary District for Wastewater Treatment Facility and Pumping Stations Reliability Upgrades",1093276,"Pingree"
"659","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","South Berwick Sewer District for Wastewater Treatment Facility Resiliency Reliability and Nutrient Removal Optimization Upgrades",1093276,"Pingree"
"660","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of North Haven for Wastewater Treatment Upgrades",1093276,"Pingree"
"661","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of Windham for Regional School Unit 14 Campus Wastewater Conveyance Project",1e+06,"Pingree"
"662","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WI","City of Mineral Point for Lead Service Line Replacement",1e+06,"Pocan"
"663","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Cliffside Park for Stormwater System Improvement Project",1092000,"Pou"
"664","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Edgewater for Stormwater Infrastructure Improvements Project",1092000,"Pou"
"665","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Hawthorne for Wastewater Management Project",1092000,"Pou"
"666","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","City of Cambridge for Water Ozone Generators Replacement Project",1092000,"Pressley"
"667","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Randolph for Water Standpipe Replacement",1092000,"Pressley"
"668","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Chicago Department of Transportation for Graceland West Green Alleys",1092000,"Quigley"
"669","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Barrington for Wastewater Treatment Plant Upgrade Project",1092000,"Quigley"
"670","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Arlington Heights for Lead Service Line Replacement Project",1092000,"Quigley"
"671","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","DuPage County for 3rd Avenue Storm Water Management Project",1092000,"Ramirez"
"672","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","Kitsap County for Wastewater Treatment Plant Upgrade",1092000,"Randall"
"673","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","City of Rockville for Orangeburg Lateral Replacement Project",1092000,"Raskin"
"674","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","City of Rockville for Wastewater Collection System Rehabilitation",1092000,"Raskin"
"675","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Washington Suburban Sanitary Commission for Sewer Rehabilitation in Montgomery County Project",1092000,"Raskin"
"676","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MD","City of Rockville for Lead Service Line Inventory Investigation",5e+05,"Raskin"
"677","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","Municipal Authority of Westmoreland County for Transmission Line Replacement",2250000,"Reschenthaler"
"678","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Ohiopyle Borough for Sewage Treatment Plant Expansion",937000,"Reschenthaler"
"679","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","North Fayette County Municipal Authority for Water Main Replacement Project",1750000,"Reschenthaler"
"680","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","Greene County for Water Line Expansion",2250000,"Reschenthaler"
"681","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Bloomingburg for Wastewater Treatment Plant & Pump Station Upgrades",1092000,"Riley"
"682","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AL","City of Pell City for Wastewater Treatment Plant Project",1e+06,"Rogers (AL)"
"683","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AL","Coosa Valley Water Supply District for Water Supply Expansion",1e+06,"Rogers (AL)"
"684","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AL","City of Attalla for Sanitary Sewer Improvement Project",750000,"Rogers (AL)"
"685","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AL","City of Auburn for Sewer Expansion Project",750000,"Rogers (AL)"
"686","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","City of Raleigh for Rocky Branch Tributary Enhancement Project",1092000,"Ross"
"687","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Town of Cary for Walnut Creek Stabilization and Restoration Project",1092000,"Ross"
"688","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Town of White Lake for Sewer Improvements",2e+06,"Rouzer"
"689","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Columbus County for Water System Improvements",2e+06,"Rouzer"
"690","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Brunswick County Public Utilities for Water Line Extension",1e+06,"Rouzer"
"691","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Lower Cape Fear Water and Sewer Authority for Raw Water Pump Station",750000,"Rouzer"
"692","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Cape Fear Public Utility Authority for Raw Water Transmission Main Extension",750000,"Rouzer"
"693","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Coachella Valley Water District for North Cathedral City Regional Stormwater Project",1092000,"Ruiz"
"694","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Wellsville for Storage Tank Replacement",750000,"Rulli"
"695","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of Struthers for Water Infrastructure Facility Upgrades",8e+05,"Rulli"
"696","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of Dover for Sanitary Sewer Upgrades",6e+05,"Rulli"
"697","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Scio for Waterline Replacement Project",5e+05,"Rulli"
"698","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of St. Augustine Beach for Stormwater System and Outfall Resiliency Project",8e+05,"Rutherford"
"699","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Cornwall for Shore Road Sewer Treatment Plant Phase 2",1092000,"Ryan"
"700","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of New Paltz for Ohioville Sewer District #6 Sewer Treatment Plant Regionalization",1092000,"Ryan"
"701","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","City of Middletown for Raw Water Line Replacement Phase 2",1092000,"Ryan"
"702","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Kiryas Joel for Water Treatment Facility Construction Project",1092000,"Ryan"
"703","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Village of Pinecrest for Storm Drainage Improvements",750000,"Salazar"
"704","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Village of Key Biscayne for Stormwater System Upgrade",2e+06,"Salazar"
"705","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Town of Cutler Bay for Drainage System Improvements",1e+06,"Salazar"
"706","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of South Miami for Septic-to-Sewer Project",1e+06,"Salazar"
"707","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","City of Dallas for LaCreole Node Sewer Project",1e+06,"Salinas"
"708","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OR","City of Newberg for Newberg Water Plant Covering Project",750000,"Salinas"
"709","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of La Habra for Foothill Zone Consolidation Water Project",1092000,"Sanchez"
"710","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Algonquin for Sanitary Sewer Improvement Project",1092000,"Schakowsky"
"711","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Buffalo Grove for Mill Creek Subdivision Utility Resiliency Project",1092000,"Schakowsky"
"712","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Skokie for Storm Water Infrastructure Enhancement Project",1092000,"Schakowsky"
"713","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Lake County Public Works for Water System Improvements",1092000,"Schakowsky"
"714","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Cary for Water System Resiliency and PFAS Mitigation Improvements Project",1092000,"Schakowsky"
"715","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Morton Grove for Lead Service Line Replacement Project",1092000,"Schakowsky"
"716","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KS","Leavenworth Waterworks for Water Treatment Plant Project",1250000,"Schmidt"
"717","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KS","City of Caney for Water Distribution System Improvements",1500000,"Schmidt"
"718","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Lake County Public Works for Antioch Township Sanitary Sewer Improvements",1092000,"Schneider"
"719","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Fox Lake for Northwest Regional Water Reclamation Facility Upgrades",1092000,"Schneider"
"720","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Spring Grove for Wastewater Treatment Plant Construction",1092000,"Schneider"
"721","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Vernon Hills for Sediment Pollution Control Project",1092000,"Schneider"
"722","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of Highland Park for George B Prindle Water Treatment Plant Intake Improvements",1092000,"Schneider"
"723","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of North Chicago for Lead Service Line Replacements",1092000,"Schneider"
"724","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Wilmette for Lead Service Line Replacement Project",1092000,"Schneider"
"725","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Grand Haven for Harbor Island Drinking Water Treatment Remediation",1092000,"Scholten"
"726","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Grand Rapids for Water Resource Recovery Facility UV Disinfection Upgrade Project",1092000,"Scholten"
"727","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","Town of Carbonado for Wastewater Treatment Plant Relocation Project",1092000,"Schrier"
"728","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","Covington Water District for Reservoir Construction Project",1092000,"Schrier"
"729","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Oxford for Water Main Replacement Project",1092000,"Scott (GA)"
"730","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","Gwinnett County for Walton Court Booster Station Project",1092000,"Scott (GA)"
"731","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","Newton County for Transmission Main Replacement Project",1092000,"Scott (GA)"
"732","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Waco for Flat Creek Water Reuse Project",1e+06,"Sessions"
"733","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Nacogdoches for Storm Drainage Improvements",1e+06,"Sessions"
"734","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Woodway for Drinking Water System Upgrades",750000,"Sessions"
"735","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Huntsville for Wastewater Treatment Plant Upgrades",750000,"Sessions"
"736","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Pflugerville for Pump Station and Storage Tank Project",750000,"Sessions"
"737","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Town of Millburn for Gilbert Place Stormwater Pump Station",1092000,"Sherrill"
"738","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of Little Falls for Peckman Riverbank Stabilization Project",1092000,"Sherrill"
"739","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of Pequannock for Pump Station Project",1092000,"Sherrill"
"740","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Township of Montville for PFAS Treatment Implementation Project",1092000,"Sherrill"
"741","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Town of Dover for Lead Service Line Replacements",1092000,"Sherrill"
"742","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Township of Nutley for Booster Pump Station Enhancement",5e+05,"Sherrill"
"743","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IN","Town of Glenwood for Water Line Project",1250000,"Shreve"
"744","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IN","Town of Dublin for Water Treatment Plant Project",1250000,"Shreve"
"745","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of San Leandro for Water Infrastructure Improvement Project",1092000,"Simon"
"746","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","East Bay Regional Park District for Martin Luther King Jr. Regional Shoreline Water Quality Improvement Project",1092000,"Simon"
"747","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","ID","Shoshone-Bannock Tribes for Water Tank Replacement",4e+06,"Simpson"
"748","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","ID","City of Rigby for Drinking Water Improvement Project",2500000,"Simpson"
"749","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","ID","City of Bellevue for Drinking Water Improvements Project",4e+06,"Simpson"
"750","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","ID","City of American Falls for Water Improvement Project",2500000,"Simpson"
"751","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NE","Village of Ohiowa for Well Replacement",344000,"Smith (NE)"
"752","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NE","Village of Ewing for Water Management Improvements",716000,"Smith (NE)"
"753","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Township of Manchester for Water Supply and Treatment Project",1750000,"Smith (NJ)"
"754","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Ocean County Utility Authority for Pump Station Improvements",2e+06,"Smith (NJ)"
"755","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Belmar Environmental Commission for Stormwater Quality Improvement Project",1e+06,"Smith (NJ)"
"756","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Renton for Kennydale Lakeline Sanitary Sewer and Water Quality Preservation Project",1092000,"Smith (WA)"
"757","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","King County Water District 54 for Water Treatment Modernization",1092000,"Smith (WA)"
"758","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Bloomington for East Street Basin Stormwater Improvements",1092000,"Sorensen"
"759","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Elmwood for Wastewater Lagoon Upgrades",1e+06,"Sorensen"
"760","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Macomb for Storm Sewer Upgrades",1092000,"Sorensen"
"761","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Rock Island for Mill Street Wastewater Treatment Plant Maintenance Project",1092000,"Sorensen"
"762","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Silvis for 3rd and 7th Street Sewer Replacement Project",1092000,"Sorensen"
"763","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Maquon for Wastewater Plant Improvements",720000,"Sorensen"
"764","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of Freeport for Water Main Replacement Project",1092000,"Sorensen"
"765","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Coal Valley for Water Main Extension and Well #4 Water Tower Construction Project",1092000,"Sorensen"
"766","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NM","Village of Corrales for Wastewater Main Project",1092000,"Stansbury"
"767","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NM","City of Santa Rosa for Wastewater Rehabilitation Project",1092000,"Stansbury"
"768","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NM","Town of Bernalillo for Wastewater Treatment Plant Project",1092000,"Stansbury"
"769","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AZ","City of Mesa for Sewer Pipe Inspection and Replacement",1092000,"Stanton"
"770","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AZ","City of Mesa for Vault Meter Rehabilitation Project",592000,"Stanton"
"771","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AZ","City of Tempe for Kyrene Recharge Well Pipelines Project",1092000,"Stanton"
"772","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AZ","City of Chandler for New Wells Project",1e+06,"Stanton"
"773","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Duluth for Water Treatment Plant Rehabilitation",1750000,"Stauber"
"774","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Ely for Water System Improvements",2e+06,"Stauber"
"775","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Nashwauk for Water Infrastructure Improvement Project",1061000,"Stauber"
"776","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","Hibbing Public Utilities Commission for Water Main Replacement and Treatment Plant Upgrade",1e+06,"Stauber"
"777","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Kettle River for Water and Wastewater Improvements Project",1e+06,"Stauber"
"778","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Cook for Wastewater Treatment System Improvements",330000,"Stauber"
"779","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","Northern Township for Wastewater Project",750000,"Stauber"
"780","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Coleraine for Water and Sewer System Upgrades",750000,"Stauber"
"781","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Keewatin for Water and Sewer Improvement Project",750000,"Stauber"
"782","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Pine City for Wastewater Treatment System Upgrade",750000,"Stauber"
"783","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Mountain Iron for Water Main Loop Project",750000,"Stauber"
"784","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Richmondville for Wastewater Treatment Rehabilitation",1e+06,"Stefanik"
"785","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Lake Luzerne for Water Storage Tank Rehabilitation",1784000,"Stefanik"
"786","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Evans Mills for Wastewater Treatment Replacement",2e+06,"Stefanik"
"787","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Broadalbin for Storage Tank Replacement",2e+06,"Stefanik"
"788","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Port Leyden for Water Distribution System Improvements",2e+06,"Stefanik"
"789","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Hudson Falls for Water Main Replacement",2e+06,"Stefanik"
"790","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Herkimer for Wastewater System Upgrades",1594064,"Stefanik"
"791","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Town of Longboat Key for Raw Wastewater Transmission Pipeline Project",1e+06,"Steube"
"792","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Easterseals Southwest Florida for Stormwater Project",750000,"Steube"
"793","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Auburn Hills for Stormwater Infrastructure",723200,"Stevens"
"794","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Farmington for Community Sanitary System Improvements",1092000,"Stevens"
"795","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Berkley for Lead Water Service Line Replacements",1092000,"Stevens"
"796","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Ferndale for Lead Service Line Verifications",4e+05,"Stevens"
"797","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AL","Town of Rogersville for Elevated Water Storage Tank",1500000,"Strong"
"798","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IN","Huntington City Water Utility for Water Main Replacements",1474360,"Stutzman"
"799","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IN","Fort Wayne City Utilities for Water and Stormwater Improvement Project Phase I",2e+06,"Stutzman"
"800","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Upper Occoquan Service Authority for Wastewater Facility Improvement Project",1092000,"Subramanyam"
"801","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","Town of Hamilton for Well 15 Development Project",650000,"Subramanyam"
"802","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","Town of Lovettsville for Water Tower Installation Project",1092000,"Subramanyam"
"803","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Hicksville Water District for AOP Treatment at Plant No. 11",1092000,"Suozzi"
"804","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Port Washington Water Pollution Control District for Wastewater Pump Stations Upgrade",1092000,"Suozzi"
"805","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Manorhaven for Sanitary Sewer Channel Crossing Replacement",1092000,"Suozzi"
"806","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Roslyn for Sewer Pipe Inspection and Repair Project",864000,"Suozzi"
"807","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Sea Cliff for Sanitary Sewer Expansion Project",1092000,"Suozzi"
"808","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Bethpage Water District for Treatment Upgrades for PFAS and VOC at Plant No. 5",1092000,"Suozzi"
"809","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Port Washington Water District for Longview Booster Station Improvements",704000,"Suozzi"
"810","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Farmingdale for Water Treatment Project",1092000,"Suozzi"
"811","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Sands Point for Water Improvement Project",1092000,"Suozzi"
"812","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Williston Park for PFAS Treatment at Well 4",1092000,"Suozzi"
"813","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Westbury Water District for Well 16 1 4–Dioxane Treatment/PFOS/PFOA Treatments",1092000,"Suozzi"
"814","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Alameda County Public Works for Livermore Sewer Extension to Protect Ground Water",1e+06,"Swalwell"
"815","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Oro Loma Sanitary District for Digester Seismic Retrofit Project",1092000,"Swalwell"
"816","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Summit County for Peninsula Sanitary Sewer Collection and Treatment Facilities",1092000,"Sykes"
"817","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Cuyahoga Falls for Water Treatment Plant Improvement Project",1092000,"Sykes"
"818","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Silver Lake for Water Main Improvement Project",725223,"Sykes"
"819","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Elsinore Valley Municipal Water District for Clean Water/Wastewater Infrastructure Project",1092000,"Takano"
"820","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Eastern Municipal Water District for Well 84D Water Quality Improvement Project",1092000,"Takano"
"821","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Jurupa Community Services District for Well 29 Development",1092000,"Takano"
"822","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Western Municipal Water District for Reservoir Management Systems",1092000,"Takano"
"823","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Wellston for Water Treatment Plant Construction Phase II",2e+06,"Taylor"
"824","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Brown County Rural Water Association for Water Tank Project",2e+06,"Taylor"
"825","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Logan for Water Treatment Plant and Water Tower Project",1250000,"Taylor"
"826","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of Winchester for Wastewater Treatment Plan Improvement Project",1250000,"Taylor"
"827","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Clinton County Board of Commissioners for Regional Wastewater Treatment Plant Project",949566,"Taylor"
"828","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of McArthur for Waterline Replacement Project Phase I",1e+06,"Taylor"
"829","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of Williamsburg for Sewer Extension Project",1e+06,"Taylor"
"830","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Phelps for Sanitary Sewer Distribution Project",1e+06,"Tenney"
"831","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Geneseo for Water and Sewer System Improvements",1e+06,"Tenney"
"832","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Waterloo for Sewer System Improvements and Wastewater Treatment Plant Upgrades",750000,"Tenney"
"833","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Throop for Water Supply Project",750000,"Tenney"
"834","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Mexico for Water System Improvements",750000,"Tenney"
"835","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Great Lakes Water Authority for 7 Mile Sewer Rehabilitation Project",1092000,"Thanedar"
"836","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Great Lakes Water Authority for Fox Creek Enclosure Condition Assessment",1092000,"Thanedar"
"837","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Great Lakes Water Authority for Freud and Conners Creek Pump Station Rehabilitation",1092000,"Thanedar"
"838","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Great Lakes Water Authority for Oakwood District Intercommunity Relief Sewer Modification",1092000,"Thanedar"
"839","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Allen Park for Allen Road Water Main Replacement Project",1092000,"Thanedar"
"840","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Wyandotte for Lead Service Line Replacement",1092000,"Thanedar"
"841","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Great Lakes Water Authority for Downriver Loop Water Main Construction",1092000,"Thanedar"
