"","Agency","Account","State","...4","Amount","Requestor"
"205","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Austin for Waterloo Greenway Creek Restoration and Water Quality Improvements",1092000,"Doggett"
"206","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Travis County for McNeil Drive Drainage Improvements",1092000,"Doggett"
"207","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MT","City of Billings for Flume Replacement Project",1e+06,"Downing"
"208","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of DeFuniak Springs for Wastewater System Upgrade",1e+06,"Dunn"
"209","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Washington County Board of County Commissioners for Water and Sewer Infrastructure Improvement Project",750000,"Dunn"
"210","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","Gadsden County for Water System Improvement and Expansion Project",750000,"Dunn"
"211","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Town of Spruce Pine for Water Storage Tank Project",2250000,"Edwards"
"212","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Town of Elk Park for Water Infrastructure Improvements",528000,"Edwards"
"213","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Town of Franklin for High Service Pump Replacement",2e+06,"Edwards"
"214","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Sartell for Force Main Project",2e+06,"Emmer"
"215","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Norwood Young America for Water Infrastructure Improvements",1600000,"Emmer"
"216","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Montrose for Wastewater Treatment Plant Regionalization Project",2e+06,"Emmer"
"217","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of St. Francis for Water and Sewer Infrastructure Upgrades",2e+06,"Emmer"
"218","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Foley for Water Treatment Plant and Well Construction",2e+06,"Emmer"
"219","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Gilman for Infrastructure Improvement Project",2e+06,"Emmer"
"220","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","Laketown Township for Community Sewer Improvement Project",2e+06,"Emmer"
"221","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Big Lake for Wastewater Treatment Plant Improvements",2e+06,"Emmer"
"222","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","El Paso County for East Montana Water Tower Project",1092000,"Escobar"
"223","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MS","City of Petal for Wastewater Infrastructure Improvement Project",1750000,"Ezell"
"224","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","Lafayette Consolidated Government for Water and Wastewater Laboratories Replacement Project",1092000,"Fields"
"225","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AL","City of Phenix for Waste Water Collection System Rehabilitation Part 2",492880,"Figures"
"226","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AL","The Water Works and Sewer Board of the City of Greenville for Water Supply District Project",1092000,"Figures"
"227","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Manchester for Watermain Replacement Project",1750000,"Finstad"
