"","Agency","Account","State","Project","Amount","Requestor"
"132","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NY","Oneida County for Purchase and Installation of Holding Tank","1,500,000","Schumer"
"133","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NY","Suffolk County for Sewerage Design Infrastructure at Heartland","1,000,000","Schumer"
"134","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NY","Village of Millerton for Wastewater System","3,500,000","Gillibrand"
"135","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","OR","Arnold Irrigation District for Infrastructure Modernization Project","2,000,000","Merkley, Wyden"
"136","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","OR","City of Dallas for Sewer and Reservoir Tank Project","1,000,000","Merkley, Wyden"
"137","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","OR","City of John Day for Wastewater Treatment Plant","4,500,000","Merkley, Wyden"
"138","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","OR","City of Talent for Resilient Waterline Installation","2,000,000","Merkley, Wyden"
"139","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","PA","Borough of Forest Hills for Storm Sewer Replacement and Sanitary Sewer Access Improvements.","500,000","Fetterman, McCor- mick 166"
"140","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","PA","Chesapeake Conservancy for Water Quality Project","400,000","Fetterman"
"141","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","PA","Dry Tavern Sewer Authority for Sewage Treatment Plant Improve- ments.","591,000","Fetterman, McCor- mick"
"142","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","PA","Hatfield Township Municipal Authority for Stormwater Mitigation Project.","241,000","Fetterman"
"143","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","RI","City of East Providence for Sewer System Rehabilitation","1,500,000","Reed, Whitehouse"
"144","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","RI","City of Warwick for Bellows Interceptor Rehabilitation","2,000,000","Reed"
"145","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","RI","Narragansett Bay Commission for Service Area Expansion Study","500,000","Reed, Whitehouse"
"146","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","RI","Town of Charlestown for Onsite Wastewater Treatment Systems Up- grades.","650,000","Whitehouse"
"147","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","RI","Town of Cumberland for Sewer Main Replacements","1,500,000","Reed"
"148","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","RI","Town of Middletown for Sewer System Reconfiguration","1,000,000","Reed, Whitehouse"
"149","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","SC","Beaufort Jasper Water & Sewer Authority for Bluffton Area Pump Station System Improvements.","1,500,000","Graham"
"150","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","SC","City of North Augusta for Greeneway Culvert Replacement","1,280,000","Graham"
"151","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","SC","City of Walterboro for SC Highway 63 Wastewater Improvements","2,983,000","Graham"
"152","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","SC","Town of Moncks Corner for Stormwater Improvements","1,678,000","Graham"
"153","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","SC","Town of Pawleys Island for Stormwater Improvements","1,500,000","Graham"
"154","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","SC","Town of Sullivan's Island for Street Drainage Improvement","3,000,000","Graham"
"155","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","VA","City of Buena Vista for Wastewater Treatment Plant Improvements","2,300,000","Kaine, Warner"
"156","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","VA","City of Williamsburg for Sanitary Sewer Resiliency Improvements","600,000","Kaine, Warner"
"157","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","VA","Town of Altavista for Wastewater Treatment Plant Improvements","3,000,000","Kaine, Warner"
"158","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","VA","Town of Fries for Drinking Water and Sewer Treatment Improve- ments.","1,000,000","Kaine, Warner"
"159","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","VA","Town of Stuart for Sewer Equalization and Reclamation","1,058,000","Kaine, Warner"
"160","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","VA","Town of Wytheville for Wastewater Plant Upgrade","942,000","Kaine, Warner"
"161","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","VT","Addison County Community Trust for Manufactured Housing Com- munity Wastewater Infrastructure Improvements.","1,200,000","Sanders, Welch"
"162","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","VT","Bolton Valley Water and Community Development Company for Community Wastewater Treatment Facility.","1,000,000","Welch"
"163","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","VT","City of Burlington for South End Wastewater Storage","1,000,000","Sanders, Welch"
"164","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","VT","Highgate Village for Wastewater System Centralization","750,000","Sanders"
"165","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","VT","Town of Richmond for Richmond Wastewater Treatment Facility","1,350,000","Sanders, Welch"
"166","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","VT","Town of Woodstock for Woodstock Wastewater Treatment Facility","1,000,000","Welch"
"167","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WA","City of Anacortes for Samish Indian Nation Summit Park Sewer Ex- tension.","997,000","Murray"
"168","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WA","City of Entiat for Wastewater Treatment Plant Upgrades and Ex- pansion.","1,000,000","Cantwell"
"169","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WA","City of Granite Falls for Water Infrastructure Projects","990,000","Cantwell, Murray"
"170","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WA","City of Toppenish for Solid State Dryer","1,000,000","Cantwell"
"171","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WA","Clark Regional Wastewater District for Wallace Heights Septic Elimination.","2,215,000","Murray"
"172","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WA","Douglas County Sewer District #1 for Sewer Line Construction","3,767,000","Murray"
"173","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WA","Port of Bellingham for Fairhaven Marine Industrial Park Stormwater Improvement Project.","1,200,000","Cantwell"
"174","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WA","Town of Carbonado for Sewer Gravity Line to Wastewater Treatment Plant.","1,000,000","Murray"
"175","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WI","Bell Sanitary District for Holding Tank Treatment Facility","1,100,000","Baldwin"
"176","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WI","City of Oshkosh for Wastewater Treatment","3,200,000","Baldwin"
"177","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WI","Forest County Potawatomi Community for Wastewater Treatment","2,000,000","Baldwin"
"178","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WI","Town of Calumet for Water Treatment System","420,000","Baldwin"
"179","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WI","Town of Richmond for Wastewater Improvements","144,000","Baldwin"
"180","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WI","Village of Brandon for Wastewater Improvements","406,000","Baldwin"
"181","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","WV","Berkeley County Westside Water Main","1,600,000","Capito, Justice"
